"Day","Account","Campaign","Ad.group","Network","Ad.group.state","Impressions","CTR","Avg..CPC","Clicks","Cost","Avg..session.duration..seconds.","Bounce.rate","Click.Assisted.Conv.","Click.conversion.rate","Conversions","View.through.conv.","Search.Impr..share","Avg..position"
2015-03-03,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",9,"11.11%",56.32,1,56.32,0,"0.00%",0,"0.00%",0,0,"100.00%",1
2015-03-05,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",11,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"68.75%",4.4
2015-03-19,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",19,"26.32%",6.182,5,30.91,0,"0.00%",0,"20.00%",1,0,"100.00%",1.1
2015-02-24,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",13,"7.69%",20.2,1,20.2,0,"0.00%",0,"0.00%",0,0,"92.86%",1.4
2015-03-11,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",17,"35.29%",13.691667,6,82.15,0,"0.00%",0,"0.00%",0,0,"100.00%",1.1
2015-03-06,"Asian haus","Asian Haus","Generic-Menu-Based-Exact","Search Network","paused",17,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"70.83%",4.1
2015-03-02,"Asian haus","Asian Haus","Asian Haus-BMM","Search Network","enabled",19,"10.53%",20.87,2,41.74,0,"0.00%",0,"0.00%",0,0,"100.00%",1.1
2015-02-24,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",4,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"50.00%",1.5
2015-02-15,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",0,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"< 10%",0
2015-02-23,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",13,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"50.00%",1.5
2015-03-21,"Asian haus","Asian Haus","Asian Haus - Distant Competitor","Search Network","enabled",1,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"11.11%",3
2015-03-12,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",15,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"83.33%",1.3
2015-03-24,"Asian haus","Asian Haus","Asian Haus - Distant Competitor","Search Network","enabled",7,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"11.29%",2.4
2015-03-02,"Asian haus","Asian Haus","Thai Cuisine","Search Network","paused",6,"0.00%",0,0,0,0,"0.00%",0,"0.00%",0,0,"40.00%",1.8
